Sl. No.,Image Filename,Anomaly,Anomaly,Classification of Image,Image Classification Level 2,Image Classification Level 1,,Tr/Te,,,,,
1524,Cluster-Safe-\\14\\image-253.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1663,Cluster-Safe-\\14\\image-1965.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1762,Cluster-Safe-\\17\\image-1057.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1785,Cluster-Safe-\\17\\image-1374.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
67,Cluster-Safe-\\0\\image-463.jpg,1,Anomaly,Issue,B20 Exterior Enclosure,B SHELL,3,Train,,,,,
81,Cluster-Safe-\\0\\image-615.jpg,1,Anomaly,Issue,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,3,Train,,,,,
116,Cluster-Safe-\\0\\image-956.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
167,Cluster-Safe-\\0\\image-1418.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,3,Train,,,,,
293,Cluster-Safe-\\2\\image-344.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
539,Cluster-Safe-\\3\\image-164.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
715,Cluster-Safe-\\3\\image-1819.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
747,Cluster-Safe-\\6\\image-67.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,3,Train,,,,,
911,Cluster-Safe-\\6\\image-1393.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1012,Cluster-Safe-\\8\\image-327.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1084,Cluster-Safe-\\8\\image-920.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1189,Cluster-Safe-\\9\\image-167.jpg,0,Normal,Potential Risk,,#N/A,3,Train,,,,,
1272,Cluster-Safe-\\9\\image-1214.jpg,0,Normal,Potential Issue,,#N/A,3,Train,,,,,
1429,Cluster-Safe-\\13\\image-1108.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
1834,Cluster-Safe-\\17\\image-1920.jpg,1,Anomaly,Issue,,#N/A,3,Train,,,,,
272,Cluster-Safe-\\2\\image-206.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
276,Cluster-Safe-\\2\\image-237.jpg,0,Normal,No Issue,,#N/A,4,Train,,,,,
354,Cluster-Safe-\\2\\image-748.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
372,Cluster-Safe-\\2\\image-881.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
458,Cluster-Safe-\\2\\image-1484.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
491,Cluster-Safe-\\2\\image-1742.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
551,Cluster-Safe-\\3\\image-268.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
792,Cluster-Safe-\\6\\image-442.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
946,Cluster-Safe-\\6\\image-1669.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1052,Cluster-Safe-\\8\\image-650.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1409,Cluster-Safe-\\13\\image-835.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1437,Cluster-Safe-\\13\\image-1152.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1578,Cluster-Safe-\\14\\image-1004.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1639,Cluster-Safe-\\14\\image-1713.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1749,Cluster-Safe-\\17\\image-990.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1758,Cluster-Safe-\\17\\image-1042.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1836,Cluster-Safe-\\17\\image-1960.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
38,Cluster-Safe-\\0\\image-254.jpg,0,Normal,Potential Risk,G10 Site Preparation,G BUILDING SITEWORK,4,Train,,,,,
69,Cluster-Safe-\\0\\image-468.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
218,Cluster-Safe-\\0\\image-1766.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
261,Cluster-Safe-\\2\\image-55.jpeg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
352,Cluster-Safe-\\2\\image-736.jpg,1,Anomaly,Risk,G10 Site Preparation,G BUILDING SITEWORK,4,Train,,,,,
614,Cluster-Safe-\\3\\image-910.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
619,Cluster-Safe-\\3\\image-935.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
739,Cluster-Safe-\\6\\image-12.jpeg,1,Anomaly,Issue,B20 Exterior Enclosure,B SHELL,4,Train,,,,,
826,Cluster-Safe-\\6\\image-706.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
965,Cluster-Safe-\\6\\image-1872.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1023,Cluster-Safe-\\8\\image-405.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1091,Cluster-Safe-\\8\\image-976.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1208,Cluster-Safe-\\9\\image-411.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1387,Cluster-Safe-\\13\\image-554.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1443,Cluster-Safe-\\13\\image-1194.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1453,Cluster-Safe-\\13\\image-1403.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1642,Cluster-Safe-\\14\\image-1763.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1689,Cluster-Safe-\\17\\image-290.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1718,Cluster-Safe-\\17\\image-686.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1794,Cluster-Safe-\\17\\image-1502.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1810,Cluster-Safe-\\17\\image-1613.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
137,Cluster-Safe-\\0\\image-1134.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
147,Cluster-Safe-\\0\\image-1256.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
190,Cluster-Safe-\\0\\image-1580.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
294,Cluster-Safe-\\2\\image-364.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
362,Cluster-Safe-\\2\\image-814.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
472,Cluster-Safe-\\2\\image-1622.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
883,Cluster-Safe-\\6\\image-1238.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
903,Cluster-Safe-\\6\\image-1339.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
962,Cluster-Safe-\\6\\image-1822.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1068,Cluster-Safe-\\8\\image-761.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1097,Cluster-Safe-\\8\\image-1018.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1136,Cluster-Safe-\\8\\image-1390.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1170,Cluster-Safe-\\8\\image-1934.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1299,Cluster-Safe-\\9\\image-1483.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1331,Cluster-Safe-\\9\\image-1879.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1347,Cluster-Safe-\\13\\image-105.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1451,Cluster-Safe-\\13\\image-1362.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1489,Cluster-Safe-\\13\\image-1774.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1653,Cluster-Safe-\\14\\image-1901.jpg,0,Normal,No Issue,,#N/A,4,Train,,,,,
188,Cluster-Safe-\\0\\image-1567.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
253,Cluster-Safe-\\2\\image-6.jpeg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
320,Cluster-Safe-\\2\\image-538.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
478,Cluster-Safe-\\2\\image-1656.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
533,Cluster-Safe-\\3\\image-135.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
599,Cluster-Safe-\\3\\image-779.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
601,Cluster-Safe-\\3\\image-793.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
738,Cluster-Safe-\\6\\image-8.jpeg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
873,Cluster-Safe-\\6\\image-1178.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
882,Cluster-Safe-\\6\\image-1230.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1076,Cluster-Safe-\\8\\image-868.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1201,Cluster-Safe-\\9\\image-262.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1243,Cluster-Safe-\\9\\image-788.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1394,Cluster-Safe-\\13\\image-704.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1466,Cluster-Safe-\\13\\image-1531.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1491,Cluster-Safe-\\13\\image-1804.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1531,Cluster-Safe-\\14\\image-342.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1552,Cluster-Safe-\\14\\image-630.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1570,Cluster-Safe-\\14\\image-904.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1667,Cluster-Safe-\\17\\image-20.jpeg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1674,Cluster-Safe-\\17\\image-107.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1808,Cluster-Safe-\\17\\image-1607.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
71,Cluster-Safe-\\0\\image-480.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
127,Cluster-Safe-\\0\\image-1061.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
308,Cluster-Safe-\\2\\image-443.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
369,Cluster-Safe-\\2\\image-859.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
376,Cluster-Safe-\\2\\image-892.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
504,Cluster-Safe-\\2\\image-1847.jpg,1,Anomaly,Risk,A10 Foundations,A SUBSTRUCTURE,4,Train,,,,,
569,Cluster-Safe-\\3\\image-498.jpg,1,Anomaly,Risk,D30 HVAC,D SERVICES,4,Train,,,,,
885,Cluster-Safe-\\6\\image-1240.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
893,Cluster-Safe-\\6\\image-1297.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
966,Cluster-Safe-\\6\\image-1873.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1046,Cluster-Safe-\\8\\image-597.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1117,Cluster-Safe-\\8\\image-1202.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1152,Cluster-Safe-\\8\\image-1695.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1206,Cluster-Safe-\\9\\image-350.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1329,Cluster-Safe-\\9\\image-1870.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1397,Cluster-Safe-\\13\\image-712.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1542,Cluster-Safe-\\14\\image-467.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1562,Cluster-Safe-\\14\\image-794.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1568,Cluster-Safe-\\14\\image-895.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1629,Cluster-Safe-\\14\\image-1639.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1764,Cluster-Safe-\\17\\image-1072.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1805,Cluster-Safe-\\17\\image-1595.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
10,Cluster-Safe-\\0\\image-74.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
54,Cluster-Safe-\\0\\image-391.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
225,Cluster-Safe-\\0\\image-1801.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
428,Cluster-Safe-\\2\\image-1275.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
475,Cluster-Safe-\\2\\image-1641.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
480,Cluster-Safe-\\2\\image-1676.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
485,Cluster-Safe-\\2\\image-1701.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
610,Cluster-Safe-\\3\\image-872.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
625,Cluster-Safe-\\3\\image-1024.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
657,Cluster-Safe-\\3\\image-1290.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
718,Cluster-Safe-\\3\\image-1855.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
734,Cluster-Safe-\\3\\image-1994.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
753,Cluster-Safe-\\6\\image-131.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
810,Cluster-Safe-\\6\\image-549.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
859,Cluster-Safe-\\6\\image-1027.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
960,Cluster-Safe-\\6\\image-1782.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1098,Cluster-Safe-\\8\\image-1029.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1168,Cluster-Safe-\\8\\image-1903.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1186,Cluster-Safe-\\9\\image-148.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1195,Cluster-Safe-\\9\\image-191.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1356,Cluster-Safe-\\13\\image-197.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1499,Cluster-Safe-\\13\\image-1884.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1558,Cluster-Safe-\\14\\image-701.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1763,Cluster-Safe-\\17\\image-1058.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1822,Cluster-Safe-\\17\\image-1725.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
4,Cluster-Safe-\\0\\image-14.jpeg,1,Anomaly,Issue,B20 Exterior Enclosure,B SHELL,4,Train,,,,,
99,Cluster-Safe-\\0\\image-818.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
300,Cluster-Safe-\\2\\image-382.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
340,Cluster-Safe-\\2\\image-639.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,4,Train,,,,,
348,Cluster-Safe-\\2\\image-691.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
465,Cluster-Safe-\\2\\image-1555.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
707,Cluster-Safe-\\3\\image-1786.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
754,Cluster-Safe-\\6\\image-156.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
777,Cluster-Safe-\\6\\image-345.jpg,1,Anomaly,Risk,A10 Foundations,A SUBSTRUCTURE,4,Train,,,,,
815,Cluster-Safe-\\6\\image-604.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
874,Cluster-Safe-\\6\\image-1184.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1031,Cluster-Safe-\\8\\image-459.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1114,Cluster-Safe-\\8\\image-1160.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1177,Cluster-Safe-\\8\\image-1989.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1181,Cluster-Safe-\\9\\image-56.jpeg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1218,Cluster-Safe-\\9\\image-537.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1323,Cluster-Safe-\\9\\image-1789.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1482,Cluster-Safe-\\13\\image-1724.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1557,Cluster-Safe-\\14\\image-698.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1628,Cluster-Safe-\\14\\image-1636.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1657,Cluster-Safe-\\14\\image-1930.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1661,Cluster-Safe-\\14\\image-1952.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1760,Cluster-Safe-\\17\\image-1049.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1817,Cluster-Safe-\\17\\image-1698.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
146,Cluster-Safe-\\0\\image-1253.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
554,Cluster-Safe-\\3\\image-313.jpg,1,Anomaly,Issue,Special Mechanical Systems,Mechanical,4,Train,,,,,
617,Cluster-Safe-\\3\\image-921.jpg,0,Normal,Potential Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
731,Cluster-Safe-\\3\\image-1988.jpg,1,Anomaly,Issue,A10 Foundations,A SUBSTRUCTURE,4,Train,,,,,
786,Cluster-Safe-\\6\\image-417.jpg,1,Anomaly,Risk,F10 Special Construction,F SPECIAL CONSTRUCTION & DEMOLITION,4,Train,,,,,
796,Cluster-Safe-\\6\\image-482.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
869,Cluster-Safe-\\6\\image-1148.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
898,Cluster-Safe-\\6\\image-1317.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1135,Cluster-Safe-\\8\\image-1382.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1158,Cluster-Safe-\\8\\image-1809.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1163,Cluster-Safe-\\8\\image-1841.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1231,Cluster-Safe-\\9\\image-651.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1327,Cluster-Safe-\\9\\image-1808.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1440,Cluster-Safe-\\13\\image-1175.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1490,Cluster-Safe-\\13\\image-1803.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1554,Cluster-Safe-\\14\\image-641.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1573,Cluster-Safe-\\14\\image-966.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1684,Cluster-Safe-\\17\\image-204.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
24,Cluster-Safe-\\0\\image-158.jpg,0,Normal,Potential Risk,G10 Site Preparation,G BUILDING SITEWORK,4,Train,,,,,
78,Cluster-Safe-\\0\\image-584.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
174,Cluster-Safe-\\0\\image-1442.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
510,Cluster-Safe-\\2\\image-1882.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
544,Cluster-Safe-\\3\\image-221.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
592,Cluster-Safe-\\3\\image-749.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
683,Cluster-Safe-\\3\\image-1534.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
837,Cluster-Safe-\\6\\image-808.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
910,Cluster-Safe-\\6\\image-1389.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
975,Cluster-Safe-\\6\\image-1941.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1022,Cluster-Safe-\\8\\image-398.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1108,Cluster-Safe-\\8\\image-1115.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1312,Cluster-Safe-\\9\\image-1597.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1368,Cluster-Safe-\\13\\image-304.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1419,Cluster-Safe-\\13\\image-993.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1492,Cluster-Safe-\\13\\image-1816.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1513,Cluster-Safe-\\14\\image-38.jpeg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1538,Cluster-Safe-\\14\\image-419.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
1646,Cluster-Safe-\\14\\image-1840.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1770,Cluster-Safe-\\17\\image-1135.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
59,Cluster-Safe-\\0\\image-409.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
217,Cluster-Safe-\\0\\image-1757.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
274,Cluster-Safe-\\2\\image-233.jpg,1,Anomaly,Risk,Special Mechanical Systems,Mechanical,4,Train,,,,,
312,Cluster-Safe-\\2\\image-494.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
315,Cluster-Safe-\\2\\image-527.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
420,Cluster-Safe-\\2\\image-1211.jpg,0,Normal,Potential Risk,A10 Foundations,A SUBSTRUCTURE,4,Train,,,,,
493,Cluster-Safe-\\2\\image-1764.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
606,Cluster-Safe-\\3\\image-852.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
613,Cluster-Safe-\\3\\image-909.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
688,Cluster-Safe-\\3\\image-1576.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
691,Cluster-Safe-\\3\\image-1608.jpg,1,Anomaly,Issue,G30 Site Mechanical Utilities,G BUILDING SITEWORK,4,Train,,,,,
904,Cluster-Safe-\\6\\image-1361.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
936,Cluster-Safe-\\6\\image-1583.jpg,0,Normal,Potential Issue,,#N/A,4,Train,,,,,
1238,Cluster-Safe-\\9\\image-724.jpg,1,Normal,Potential Risk,,#N/A,4,Train,,,,,
1432,Cluster-Safe-\\13\\image-1133.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1460,Cluster-Safe-\\13\\image-1462.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1615,Cluster-Safe-\\14\\image-1515.jpg,1,Anomaly,Risk,,#N/A,4,Train,,,,,
1778,Cluster-Safe-\\17\\image-1291.jpg,1,Anomaly,Issue,,#N/A,4,Train,,,,,
1832,Cluster-Safe-\\17\\image-1908.jpg,0,Normal,Potential Risk,,#N/A,4,Train,,,,,
166,Cluster-Safe-\\0\\image-1415.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
259,Cluster-Safe-\\2\\image-43.jpeg,0,Normal,Potential Risk,,#N/A,5,Train,,,,,
498,Cluster-Safe-\\2\\image-1791.jpg,1,Anomaly,Risk,G30 Site Mechanical Utilities,G BUILDING SITEWORK,5,Train,,,,,
515,Cluster-Safe-\\2\\image-1923.jpg,0,Normal,Potential Issue,A10 Foundations,A SUBSTRUCTURE,5,Train,,,,,
525,Cluster-Safe-\\3\\image-50.jpeg,0,Normal,Potential Risk,,#N/A,5,Train,,,,,
545,Cluster-Safe-\\3\\image-225.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
548,Cluster-Safe-\\3\\image-242.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
604,Cluster-Safe-\\3\\image-830.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
889,Cluster-Safe-\\6\\image-1272.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
1053,Cluster-Safe-\\8\\image-652.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
1060,Cluster-Safe-\\8\\image-697.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
1226,Cluster-Safe-\\9\\image-582.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
1336,Cluster-Safe-\\9\\image-1972.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
1353,Cluster-Safe-\\13\\image-143.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
1380,Cluster-Safe-\\13\\image-452.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
1422,Cluster-Safe-\\13\\image-1035.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
1624,Cluster-Safe-\\14\\image-1588.jpg,1,Anomaly,Risk,,#N/A,5,Train,,,,,
1680,Cluster-Safe-\\17\\image-175.jpg,0,Normal,Potential Issue,,#N/A,5,Train,,,,,
1829,Cluster-Safe-\\17\\image-1861.jpg,1,Anomaly,Issue,,#N/A,5,Train,,,,,
